NumberOfToolsProcessed,RUL
1,233
4,230
4,230
5,229
6,228
7,227
11,223
13,221
13,221
14,220
15,219
17,217
18,216
19,215
24,210
27,207
28,206
30,204
31,203
33,201
35,199
37,197
40,194
43,191
45,189
47,187
48,186
50,184
51,183
52,182
55,179
57,177
58,176
59,175
63,171
65,169
68,166
69,165
70,164
71,163
73,161
77,157
78,156
80,154
82,152
83,151
87,147
89,145
90,144
91,143
92,142
93,141
94,140
97,137
98,136
99,135
101,133
102,132
104,130
105,129
107,127
108,126
111,123
114,120
115,119
117,117
118,116
119,115
123,111
124,110
125,109
126,108
127,107
128,106
129,105
130,104
134,100
135,99
136,98
137,97
138,96
139,95
140,94
141,93
142,92
143,91
144,90
145,89
147,87
148,86
149,85
150,84
151,83
152,82
153,81
154,80
155,79
156,78
157,77
158,76
159,75
160,74
161,73
162,72
163,71
164,70
165,69
166,68
167,67
170,64
171,63
172,62
174,60
174,60
175,59
179,55
180,54
182,52
182,52
183,51
184,50
186,48
187,47
188,46
189,45
190,44
191,43
192,42
194,40
196,38
197,37
198,36
199,35
200,34
201,33
202,32
203,31
204,30
205,29
206,28
207,27
208,26
209,25
210,24
214,20
215,19
217,17
217,17
218,16
219,15
220,14
221,13
222,12
224,10
225,9
226,8
227,7
228,6
229,5
230,4
231,3
232,2
233,1
234,5.20E-15
