"NumberOfToolsProcessed","RUL","RUL.1","RUL.2"
1,230.939293395219,232.929989069237,236.142457554053
4,229.735634170136,230.249921083636,231.900211538322
4,227.63548439421,229.150811002982,229.512010143673
5,228.982558214907,229.750937528294,231.599420389373
6,229.87755366155,229.957216864742,231.034237728933
7,227.598868073709,228.213584719104,229.259676426251
11,220.093777608331,223.89373791925,224.962637896699
13,220.742763646819,221.149105384783,223.338903909221
13,219.328797786734,219.608829579523,219.653542677599
14,222.971406025066,223.907809415868,224.022632253203
15,218.111443106369,219.616014282349,221.422761190343
17,215.675290690097,215.799746887263,216.794820951227
18,215.863916932057,215.937005142046,218.178048931487
19,213.321780544163,213.983360547025,216.06793135397
24,210.011973343605,210.618172025755,211.184098204023
27,206.369435339602,206.891478325694,207.686136179028
28,205.725712587533,206.83444472867,207.214023751473
30,201.541253163492,202.399165156835,204.034672747292
31,201.072000233274,202.959371652423,205.405667381953
33,202.831459052565,203.158724464311,204.17106297415
35,196.196490674797,198.353327914675,199.52901690009
37,195.246483369062,195.676633046831,197.490713330597
40,193.713401251025,195.918530933392,197.663323466732
43,187.447898456968,188.160160892907,189.446636325509
45,188.440686223489,188.932434194369,189.125778112555
47,187.051860955248,188.281821938582,190.042550878602
48,180.627193692006,183.301761967221,184.031036167657
50,180.788631994064,182.441854631768,182.848793757547
51,181.605822417182,183.860149302366,183.89394017227
52,181.87609136287,184.07109313586,184.206339255401
55,178.065367771699,179.743908745996,180.04725892218
57,177.422438139727,178.433020517677,178.710255358872
58,174.222763114932,174.786303592187,175.959965803658
59,175.213600698225,176.449080266604,176.540199743523
63,170.332178667203,170.715521137597,172.136917180806
65,169.122365285597,169.661924888473,169.817484867965
68,164.239648867225,166.501477568546,168.745611601443
69,165.527111348942,165.602797740897,166.298326058309
70,163.282864698181,163.430045750263,165.826269720503
71,160.486687340588,160.9604470957,162.041676673635
73,162.944447021438,164.579635530285,165.015210474695
77,158.046335032054,158.196713848473,161.251162154424
78,157.360636714067,159.078165858391,160.124540962347
80,152.57292294088,154.813295420402,156.201807618649
